experiment,concept,min_cosine,final_cosine,drift_onset_step,final_auroc_fixed,baseline_behavior_score,final_behavior_score,behavior_delta
Alpaca,deception,0.9849607348442078,0.9851003289222717,,1.0,0.4166666666666667,0.25,-0.16666666666666669
Alpaca,refusal,0.35289257764816284,0.37790030241012573,50,0.9924999999999999,0.9166666666666666,0.6666666666666666,-0.25
Alpaca,sycophancy,0.6866451501846313,0.6888647079467773,50,0.9925,0.3,0.3,0.0
Dolly,deception,0.9630694389343262,0.9668809175491333,,1.0,0.4166666666666667,0.16666666666666666,-0.25
Dolly,refusal,0.3693217635154724,0.4388735294342041,50,1.0,0.9166666666666666,0.8333333333333334,-0.08333333333333326
Dolly,sycophancy,0.6435437202453613,0.6622871160507202,100,0.98,0.3,0.0,-0.3
Code Alpaca,deception,0.9964946508407593,0.9968094229698181,,1.0,0.4166666666666667,0.25,-0.16666666666666669
Code Alpaca,refusal,0.33818599581718445,0.35158658027648926,50,0.99,0.9166666666666666,0.75,-0.16666666666666663
Code Alpaca,sycophancy,0.7620041370391846,0.7861828804016113,50,1.0,0.3,0.3,0.0
