step,epoch,elapsed_seconds,cross_refusal_deception_cosine,cross_refusal_sycophancy_cosine,cross_sycophancy_deception_cosine,deception_auroc_current,deception_auroc_fixed,deception_cosine_to_baseline,deception_direction_norm,deception_measurement_seconds,refusal_auroc_current,refusal_auroc_fixed,refusal_cosine_to_baseline,refusal_direction_norm,refusal_measurement_seconds,sycophancy_auroc_current,sycophancy_auroc_fixed,sycophancy_cosine_to_baseline,sycophancy_direction_norm,sycophancy_measurement_seconds
0,0.0,73.55838186999972,-0.0053324345499277115,-0.01275562308728695,0.006553624756634235,1.0,1.0,0.9999946355819702,0.37730419635772705,17.797024726000018,1.0,1.0,0.999998152256012,18.59454345703125,17.21320242800084,1.0,1.0,0.9999811053276062,0.34384676814079285,30.738496849000512
50,0.16,822.7860266560001,-0.018437672406435013,-0.03037925250828266,0.0069698672741651535,1.0,1.0,0.999549388885498,0.37825894355773926,17.983794841999952,0.985,0.9974999999999999,0.35289257764816284,10.422454833984375,17.123173699999825,1.0,1.0,0.912296712398529,0.36226436495780945,30.345180950000213
100,0.32,1572.7968975410004,-0.005483171436935663,-0.045926596969366074,-0.02082493156194687,1.0,1.0,0.9927878975868225,0.3825508654117584,18.1417973610005,0.9575,0.9925,0.41352301836013794,10.429617881774902,16.87485966099939,1.0,1.0,0.8494118452072144,0.30416953563690186,30.56210771899987
150,0.48,2299.684038759,0.003307247068732977,-0.04291984438896179,-0.028135430067777634,1.0,1.0,0.9878387451171875,0.37940165400505066,17.832528780999382,0.95,0.9850000000000001,0.4164869785308838,11.46373462677002,17.10992734699994,0.9974999999999999,1.0,0.8413656949996948,0.344085693359375,30.490421210000022
200,0.64,3042.2591083899997,0.007764322217553854,-0.03923872485756874,-0.03444955125451088,1.0,1.0,0.9871298670768738,0.3831382393836975,17.9246439690005,0.9500000000000001,0.9825,0.3936411142349243,11.22567081451416,17.101886740999362,0.9925,1.0,0.8605576157569885,0.3404190242290497,30.423693278999963
250,0.8,3785.973122419,0.015939556062221527,-0.04200064390897751,-0.03609749674797058,1.0,1.0,0.9870659112930298,0.3806866705417633,17.965940885000236,0.95,0.9924999999999999,0.4266666769981384,12.598976135253906,17.10187862099974,0.98,1.0,0.8277229070663452,0.33204272389411926,30.408348893000948
300,0.96,4526.409170181,0.01309012807905674,-0.03987789899110794,-0.032783180475234985,1.0,1.0,0.9891574382781982,0.3785746097564697,17.966470923000088,0.9425,0.9924999999999999,0.3860783278942108,12.834674835205078,17.129837282000153,0.995,1.0,0.8335474729537964,0.3297678530216217,30.41376491400115
350,1.1184,5260.3269150589995,0.017916806042194366,-0.039803460240364075,-0.03394633159041405,1.0,1.0,0.9875232577323914,0.3768756091594696,17.905845076998958,0.9375,0.99,0.360996812582016,12.97465705871582,16.952298917998633,0.995,1.0,0.8321223855018616,0.34212642908096313,30.130664025000442
400,1.2784,6016.139478393,0.022131595760583878,-0.04281682148575783,-0.036034829914569855,1.0,1.0,0.988297700881958,0.3763182461261749,17.929655300000377,0.9375,0.9924999999999999,0.39425355195999146,12.924567222595215,17.20177628700003,0.995,1.0,0.8397035002708435,0.3406583070755005,30.80227001000094
450,1.4384000000000001,6753.108384249,0.019840391352772713,-0.0404968336224556,-0.03639421984553337,1.0,1.0,0.9870054721832275,0.3748149573802948,18.095261651000328,0.9425,0.9924999999999999,0.4064660370349884,14.430506706237793,17.053931946000375,0.9925,0.995,0.7980396747589111,0.34411901235580444,30.56880224300039
500,1.5984,7485.193566360999,0.017875365912914276,-0.042547136545181274,-0.03861624747514725,1.0,1.0,0.9861671328544617,0.37464845180511475,17.995446830998844,0.9474999999999999,0.9924999999999999,0.4230594038963318,13.143331527709961,17.035201521001,0.99,0.9925,0.7496871948242188,0.34138059616088867,30.341552022000542
550,1.7584,8214.326839595,0.01602938584983349,-0.045743778347969055,-0.039331018924713135,1.0,1.0,0.9872686862945557,0.3778679072856903,17.892650079000305,0.9474999999999999,0.9924999999999999,0.406067430973053,14.194258689880371,17.09491622099995,0.995,1.0,0.7515397071838379,0.3399103581905365,30.393840237000404
600,1.9184,8959.307879287,0.015998244285583496,-0.052264705300331116,-0.03907771036028862,1.0,1.0,0.9881281852722168,0.3773941993713379,17.809375243999966,0.955,0.9924999999999999,0.40444839000701904,13.931943893432617,17.002164454001104,0.995,1.0,0.7553703188896179,0.3408229351043701,30.479458252000768
650,2.0768,9697.338794321,0.01725846715271473,-0.041154973208904266,-0.042408160865306854,1.0,1.0,0.988050639629364,0.3754644989967346,18.011168713001098,0.955,0.9924999999999999,0.38903024792671204,15.670660018920898,17.131369722999807,0.995,1.0,0.7413156032562256,0.34440478682518005,30.53144498199981
700,2.2368,10447.638150957999,0.015337757766246796,-0.04121841490268707,-0.04376184940338135,1.0,1.0,0.9870077967643738,0.3768630623817444,17.90994594299991,0.955,0.9924999999999999,0.40185412764549255,15.11371898651123,17.137964220999493,0.995,0.9925,0.7025133371353149,0.3471872806549072,30.632938459999423
750,2.3968,11195.132113021999,0.018409498035907745,-0.04312648996710777,-0.04559236764907837,1.0,1.0,0.9866794347763062,0.3779270052909851,18.014620603000367,0.955,0.9924999999999999,0.38818812370300293,15.508831024169922,17.049623982000412,0.9925,0.99,0.6866451501846313,0.34827426075935364,30.239991797001494
800,2.5568,11928.293586598,0.018127813935279846,-0.04375024512410164,-0.04353015124797821,1.0,1.0,0.9861131310462952,0.37717145681381226,18.00594323599944,0.9525,0.9924999999999999,0.38495951890945435,14.856559753417969,17.055505438000182,0.99,0.99,0.6989984512329102,0.34399116039276123,30.729214138000316
850,2.7168,12664.536348244,0.018694140017032623,-0.04106372967362404,-0.045899417251348495,1.0,1.0,0.9849607348442078,0.3787781298160553,17.856082906000665,0.9474999999999999,0.9924999999999999,0.37742555141448975,14.840052604675293,17.11701858000015,0.9925,0.9925,0.6958403587341309,0.34712353348731995,30.18949510300081
900,2.8768000000000002,13410.892414085,0.017593989148736,-0.04082095995545387,-0.04524555429816246,1.0,1.0,0.9851901531219482,0.37785664200782776,17.913401655998314,0.9474999999999999,0.9924999999999999,0.376966655254364,14.533159255981445,17.20033569899897,0.9875,0.9925,0.6880050301551819,0.3516988754272461,30.429315985998983
939,3.0,13995.417301279998,0.018101556226611137,-0.04113219678401947,-0.0455525666475296,1.0,1.0,0.9851003289222717,0.3777785003185272,17.943958642001235,0.9474999999999999,0.9924999999999999,0.37790030241012573,14.425506591796875,17.022959575999266,0.9875,0.9925,0.6888647079467773,0.35184091329574585,30.245538494000357
