step,epoch,elapsed_seconds,cross_refusal_deception_cosine,cross_refusal_sycophancy_cosine,cross_sycophancy_deception_cosine,deception_auroc_current,deception_auroc_fixed,deception_cosine_to_baseline,deception_direction_norm,deception_measurement_seconds,refusal_auroc_current,refusal_auroc_fixed,refusal_cosine_to_baseline,refusal_direction_norm,refusal_measurement_seconds,sycophancy_auroc_current,sycophancy_auroc_fixed,sycophancy_cosine_to_baseline,sycophancy_direction_norm,sycophancy_measurement_seconds
0,0.0,77.68932977000003,-0.0053324345499277115,-0.01275562308728695,0.006553624756634235,1.0,1.0,0.9999946355819702,0.37730419635772705,18.449207548999993,1.0,1.0,0.999998152256012,18.59454345703125,18.806867658999977,1.0,1.0,0.9999811053276062,0.34384676814079285,32.79285893100007
50,0.16,878.129435654,-0.018437672406435013,-0.03037925250828266,0.0069698672741651535,1.0,1.0,0.999549388885498,0.37825894355773926,19.092323983000142,0.985,0.9974999999999999,0.35289257764816284,10.422454833984375,18.000016770000002,1.0,1.0,0.912296712398529,0.36226436495780945,32.76847921499984
100,0.32,1676.3058145510001,-0.005483171436935663,-0.045926596969366074,-0.02082493156194687,1.0,1.0,0.9927878975868225,0.3825508654117584,18.973876069000198,0.9575,0.9925,0.41352301836013794,10.429617881774902,18.097528238999985,1.0,1.0,0.8494118452072144,0.30416953563690186,32.70138613100016
150,0.48,2453.1871825400003,0.003307247068732977,-0.04291984438896179,-0.028135430067777634,1.0,1.0,0.9878387451171875,0.37940165400505066,19.007227345000047,0.95,0.9850000000000001,0.4164869785308838,11.46373462677002,18.059852983000383,0.9974999999999999,1.0,0.8413656949996948,0.344085693359375,32.77981038899998
200,0.64,3243.52754826,0.007764322217553854,-0.03923872485756874,-0.03444955125451088,1.0,1.0,0.9871298670768738,0.3831382393836975,18.90868112499993,0.9500000000000001,0.9825,0.3936411142349243,11.22567081451416,18.021369608999976,0.9925,1.0,0.8605576157569885,0.3404190242290497,32.68473165600017
250,0.8,4034.9551731140004,0.015939556062221527,-0.04200064390897751,-0.03609749674797058,1.0,1.0,0.9870659112930298,0.3806866705417633,18.921646567000607,0.95,0.9924999999999999,0.4266666769981384,12.598976135253906,18.02929171699998,0.98,1.0,0.8277229070663452,0.33204272389411926,32.57673647899992
300,0.96,4822.290340627999,0.01309012807905674,-0.03987789899110794,-0.032783180475234985,1.0,1.0,0.9891574382781982,0.3785746097564697,18.951962846000242,0.9425,0.9924999999999999,0.3860783278942108,12.834674835205078,18.11776723100047,0.995,1.0,0.8335474729537964,0.3297678530216217,32.689679198000704
350,1.1184,5605.313158096999,0.017916806042194366,-0.039803460240364075,-0.03394633159041405,1.0,1.0,0.9875232577323914,0.3768756091594696,18.927289465000285,0.9375,0.99,0.360996812582016,12.97465705871582,18.017452761999266,0.995,1.0,0.8321223855018616,0.34212642908096313,32.66897353399963
400,1.2784,6411.097658033,0.022131595760583878,-0.04281682148575783,-0.036034829914569855,1.0,1.0,0.988297700881958,0.3763182461261749,18.876569137999468,0.9375,0.9924999999999999,0.39425355195999146,12.924567222595215,18.186218832000122,0.995,1.0,0.8397035002708435,0.3406583070755005,32.43514908199995
450,1.4384000000000001,7193.675831988,0.019840391352772713,-0.0404968336224556,-0.03639421984553337,1.0,1.0,0.9870054721832275,0.3748149573802948,19.13071019400013,0.9425,0.9924999999999999,0.4064660370349884,14.430506706237793,17.97329957799957,0.9925,0.995,0.7980396747589111,0.34411901235580444,32.697628328000064
500,1.5984,7970.770345161,0.017875365912914276,-0.042547136545181274,-0.03861624747514725,1.0,1.0,0.9861671328544617,0.37464845180511475,19.05922112100052,0.9474999999999999,0.9924999999999999,0.4230594038963318,13.143331527709961,17.980447350999384,0.99,0.9925,0.7496871948242188,0.34138059616088867,32.734940902000744
550,1.7584,8747.440701017,0.01602938584983349,-0.045743778347969055,-0.039331018924713135,1.0,1.0,0.9872686862945557,0.3778679072856903,19.018731084999672,0.9474999999999999,0.9924999999999999,0.406067430973053,14.194258689880371,18.05353332499908,0.995,1.0,0.7515397071838379,0.3399103581905365,32.80696282200006
600,1.9184,9542.831012491999,0.015998244285583496,-0.052264705300331116,-0.03907771036028862,1.0,1.0,0.9881281852722168,0.3773941993713379,18.895694136999737,0.955,0.9924999999999999,0.40444839000701904,13.931943893432617,17.895203829999446,0.995,1.0,0.7553703188896179,0.3408229351043701,32.83027906999996
650,2.0768,10328.757910819999,0.01725846715271473,-0.041154973208904266,-0.042408160865306854,1.0,1.0,0.988050639629364,0.3754644989967346,18.993238693999956,0.955,0.9924999999999999,0.38903024792671204,15.670660018920898,18.080416960001457,0.995,1.0,0.7413156032562256,0.34440478682518005,32.69340240999918
700,2.2368,11129.024645233,0.015337757766246796,-0.04121841490268707,-0.04376184940338135,1.0,1.0,0.9870077967643738,0.3768630623817444,19.035849759000484,0.955,0.9924999999999999,0.40185412764549255,15.11371898651123,18.063230705000024,0.995,0.9925,0.7025133371353149,0.3471872806549072,32.60025445700012
750,2.3968,11924.600063517999,0.018409498035907745,-0.04312648996710777,-0.04559236764907837,1.0,1.0,0.9866794347763062,0.3779270052909851,19.078498406999643,0.955,0.9924999999999999,0.38818812370300293,15.508831024169922,18.115737611999066,0.9925,0.99,0.6866451501846313,0.34827426075935364,32.75244143799864
800,2.5568,12704.693340665,0.018127813935279846,-0.04375024512410164,-0.04353015124797821,1.0,1.0,0.9861131310462952,0.37717145681381226,18.878136535999147,0.9525,0.9924999999999999,0.38495951890945435,14.856559753417969,18.03710688799947,0.99,0.99,0.6989984512329102,0.34399116039276123,32.691480415000115
850,2.7168,13487.796134196,0.018694140017032623,-0.04106372967362404,-0.045899417251348495,1.0,1.0,0.9849607348442078,0.3787781298160553,18.966727798000647,0.9474999999999999,0.9924999999999999,0.37742555141448975,14.840052604675293,18.08426270000018,0.9925,0.9925,0.6958403587341309,0.34712353348731995,32.89641075500003
900,2.8768000000000002,14283.036877916,0.017593989148736,-0.04082095995545387,-0.04524555429816246,1.0,1.0,0.9851901531219482,0.37785664200782776,18.869014035000873,0.9474999999999999,0.9924999999999999,0.376966655254364,14.533159255981445,18.09605229599947,0.9875,0.9925,0.6880050301551819,0.3516988754272461,32.7557369999995
939,3.0,14904.174842086,0.018101556226611137,-0.04113219678401947,-0.0455525666475296,1.0,1.0,0.9851003289222717,0.3777785003185272,19.023012801999357,0.9474999999999999,0.9924999999999999,0.37790030241012573,14.425506591796875,17.892342812001516,0.9875,0.9925,0.6888647079467773,0.35184091329574585,32.667098206000446
